
Host: aaojha

Timers On : Fri May 14 09:26:37 2021
Timers Off: Fri May 14 09:26:47 2021

Wall Time:       10.00 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      1.267u      0.000s      0.771w      1 calls
DFH: sparsity prep                  :      0.033u      0.017s      0.014w      1 calls
DFH: initialize()                   :      0.683u      0.000s      0.416w      1 calls
DFH: AO Construction                :      0.283u      0.000s      0.167w      1 calls
DFH: AO-Met. Contraction            :      0.083u      0.000s      0.050w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.010w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      1 calls
HF: Guess                           :      0.283u      0.017s      0.178w      1 calls
SAD Guess                           :      0.267u      0.017s      0.161w      1 calls
HF: Form G                          :      8.533u      0.117s      5.225w     14 calls
RV: Form V                          :      8.500u      0.117s      5.202w     14 calls
Properties                          :      2.583u      0.033s      1.602w  44460 calls
Functional                          :      4.450u      0.083s      2.722w  44460 calls
V_xc                                :      2.300u      0.017s      1.379w  41496 calls
JK: D                               :      0.000u      0.000s      0.000w     14 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     14 calls
JK: JK                              :      0.033u      0.000s      0.022w     14 calls
DFH: compute_JK()                   :      0.033u      0.000s      0.022w     14 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     14 calls
DFH: compute_J                      :      0.033u      0.000s      0.022w     14 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     14 calls
HF: Form F                          :      0.000u      0.000s      0.000w     14 calls
HF: Form D                          :      0.000u      0.000s      0.000w     14 calls
HF: DIIS                            :      0.067u      0.000s      0.006w     13 calls
DIISManager::add_entry              :      0.017u      0.000s      0.001w     13 calls
DIISManager::extrapolate            :      0.017u      0.000s      0.002w     13 calls
bMatrix setup                       :      0.000u      0.000s      0.001w     13 calls
bMatrix pseudoinverse               :      0.017u      0.000s      0.000w     13 calls
New vector                          :      0.000u      0.000s      0.000w     13 calls
HF: Form C                          :      0.000u      0.000s      0.003w     13 calls
Grad: V T Perturb                   :      0.083u      0.000s      0.052w      1 calls
Grad: S                             :      0.000u      0.000s      0.002w      1 calls
Grad: JK                            :      2.017u      0.000s      1.217w      1 calls
JKGrad: Amn                         :      0.300u      0.000s      0.180w      1 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      1 calls
JKGrad: AB                          :      0.283u      0.000s      0.177w      1 calls
JKGrad: UV                          :      0.000u      0.000s      0.000w      1 calls
JKGrad: ABx                         :      0.133u      0.000s      0.079w      1 calls
JKGrad: Amnx                        :      1.267u      0.000s      0.758w      1 calls
Grad: XC                            :      1.483u      0.017s      0.897w      1 calls
V_xc gradient                       :      0.467u      0.000s      0.329w   2964 calls

--------------------------------------------------------------------------------------
V: Grid                             :      1.267u      0.000s      0.771w      1 calls
DFH: sparsity prep                  :      0.033u      0.017s      0.014w      1 calls
DFH: initialize()                   :      0.683u      0.000s      0.416w      1 calls
| DFH: AO Construction              :      0.283u      0.000s      0.167w      1 calls
| DFH: AO-Met. Contraction          :      0.083u      0.000s      0.050w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.010w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      1 calls
HF: Guess                           :      0.283u      0.017s      0.178w      1 calls
| SAD Guess                         :      0.267u      0.017s      0.161w      1 calls
HF: Form G                          :      8.533u      0.117s      5.225w     14 calls
| RV: Form V                        :      8.500u      0.117s      5.202w     14 calls
| | Properties                      :      1.983u      0.017s      1.225w  41496 calls
| | Functional                      :      4.050u      0.083s      2.536w  41496 calls
| | V_xc                            :      2.300u      0.017s      1.379w  41496 calls
| JK: D                             :      0.000u      0.000s      0.000w     14 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     14 calls
| JK: JK                            :      0.033u      0.000s      0.022w     14 calls
| | DFH: compute_JK()               :      0.033u      0.000s      0.022w     14 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     14 calls
| | | DFH: compute_J                :      0.033u      0.000s      0.022w     14 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     14 calls
HF: Form F                          :      0.000u      0.000s      0.000w     14 calls
